2023-10-29 20:39:17,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583157, Kline_1s timestep: 1698583157
2023-10-29 20:39:18,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583158, Kline_1s timestep: 1698583158
2023-10-29 20:39:19,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583159, Kline_1s timestep: 1698583159
2023-10-29 20:39:20,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583160, Kline_1s timestep: 1698583160
2023-10-29 20:39:21,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583161, Kline_1s timestep: 1698583161
2023-10-29 20:39:23,637 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583163, Kline_1s timestep: 1698583163
2023-10-29 20:39:24,705 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583164, Kline_1s timestep: 1698583164
2023-10-29 20:39:25,627 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583165, Kline_1s timestep: 1698583165
2023-10-29 20:39:26,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583166, Kline_1s timestep: 1698583166
2023-10-29 20:39:27,621 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583167, Kline_1s timestep: 1698583167
2023-10-29 20:39:28,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583168, Kline_1s timestep: 1698583168
2023-10-29 20:39:29,614 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583169, Kline_1s timestep: 1698583169
2023-10-29 20:39:31,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583171, Kline_1s timestep: 1698583171
2023-10-29 20:39:32,635 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583172, Kline_1s timestep: 1698583172
2023-10-29 20:39:33,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583173, Kline_1s timestep: 1698583173
2023-10-29 20:39:34,615 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583174, Kline_1s timestep: 1698583174
2023-10-29 20:39:35,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583175, Kline_1s timestep: 1698583175
2023-10-29 20:39:36,598 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583176, Kline_1s timestep: 1698583176
2023-10-29 20:39:38,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583178, Kline_1s timestep: 1698583178
2023-10-29 20:39:39,602 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583179, Kline_1s timestep: 1698583179
2023-10-29 20:39:40,618 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583180, Kline_1s timestep: 1698583180
2023-10-29 20:39:41,602 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583181, Kline_1s timestep: 1698583181
2023-10-29 20:39:42,602 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583182, Kline_1s timestep: 1698583182
2023-10-29 20:39:43,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583183, Kline_1s timestep: 1698583183
2023-10-29 20:39:44,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583184, Kline_1s timestep: 1698583184
2023-10-29 20:39:45,602 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583185, Kline_1s timestep: 1698583185
2023-10-29 20:39:46,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583186, Kline_1s timestep: 1698583186
2023-10-29 20:39:48,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583188, Kline_1s timestep: 1698583188
2023-10-29 20:39:49,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583189, Kline_1s timestep: 1698583189
2023-10-29 20:39:50,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583190, Kline_1s timestep: 1698583190
2023-10-29 20:39:52,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583192, Kline_1s timestep: 1698583192
2023-10-29 20:39:53,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583193, Kline_1s timestep: 1698583193
2023-10-29 20:39:54,598 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583194, Kline_1s timestep: 1698583194
2023-10-29 20:39:55,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583195, Kline_1s timestep: 1698583195
2023-10-29 20:39:56,608 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583196, Kline_1s timestep: 1698583196
2023-10-29 20:39:57,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583197, Kline_1s timestep: 1698583197
2023-10-29 20:39:58,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583198, Kline_1s timestep: 1698583198
2023-10-29 20:39:59,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583199, Kline_1s timestep: 1698583199
2023-10-29 20:40:00,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583200, Kline_1s timestep: 1698583200
2023-10-29 20:40:02,625 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583202, Kline_1s timestep: 1698583202
2023-10-29 20:40:02,628 - websocket_consumer.py[line:177] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698583202
2023-10-29 20:40:03,606 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583203, Kline_1s timestep: 1698583203
